Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.27     0.00   270044     0.00     0.00  main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}::operator()(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) const
  0.00      1.27     0.00   264292     0.00     0.00  __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >::base() const
  0.00      1.27     0.00   259177     0.00     0.00  std::set<std::pair<float, Operation>, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::size() const
  0.00      1.27     0.00   259177     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::size() const
  0.00      1.27     0.00   236237     0.00     0.00  void std::__relocate_object_a<Operation, Operation, std::allocator<Operation> >(Operation*, Operation*, std::allocator<Operation>&)
  0.00      1.27     0.00   236237     0.00     0.00  std::remove_reference<Operation&>::type&& std::move<Operation&>(Operation&)
  0.00      1.27     0.00   235644     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_mbegin() const
  0.00      1.27     0.00   235644     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_begin()
  0.00      1.27     0.00   233834     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<float, Operation> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<float, Operation> > const&)
  0.00      1.27     0.00   233834     0.00     0.00  std::set<std::pair<float, Operation>, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::insert(std::pair<float, Operation>&&)
  0.00      1.27     0.00   233834     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<float, Operation> >, bool>::pair<std::_Rb_tree_iterator<std::pair<float, Operation> >, bool, true>(std::_Rb_tree_iterator<std::pair<float, Operation> >&&, bool&&)
  0.00      1.27     0.00   233834     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<std::pair<float, Operation> >, bool>::pair<std::_Rb_tree_iterator<std::pair<float, Operation> >&, bool&, true>(std::_Rb_tree_iterator<std::pair<float, Operation> >&, bool&)
  0.00      1.27     0.00   233834     0.00     0.00  std::pair<float, Operation>::pair<float, Operation&, true>(float&&, Operation&)
  0.00      1.27     0.00   233834     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<float, Operation> >, bool> std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_insert_unique<std::pair<float, Operation> >(std::pair<float, Operation>&&)
